Price,Adj Close,Close,High,Low,Open,Volume
Ticker,IOO,IOO,IOO,IOO,IOO,IOO
Date,,,,,,
2000-12-08,21.484704971313477,36.2734375,36.2734375,36.1171875,36.1171875,3200
2000-12-11,21.665176391601562,36.578125,36.8515625,36.578125,36.734375,2200
2000-12-12,21.53097915649414,36.3515625,36.46875,36.03125,36.2734375,3200
2000-12-13,21.53097915649414,36.3515625,36.3515625,36.3515625,36.3515625,0
2000-12-14,21.17930793762207,35.7578125,35.90625,35.7578125,35.90625,2200
2000-12-15,20.892410278320312,35.2734375,35.2734375,34.8125,35.1953125,18000
2000-12-18,20.665668487548828,34.890625,35.265625,34.890625,35.1796875,7000
2000-12-19,20.53610610961914,34.671875,34.671875,34.671875,34.671875,400
2000-12-20,20.14513397216797,34.0,34.296875,34.0,34.296875,600
2000-12-21,19.936824798583984,33.6484375,33.671875,33.5625,33.671875,2400
2000-12-22,20.4876708984375,34.578125,34.578125,34.5078125,34.5078125,9000
2000-12-26,20.459896087646484,34.53125,34.6875,34.53125,34.6875,2200
2000-12-27,20.807065963745117,35.1171875,35.1484375,35.0,35.1484375,600
2000-12-28,20.723743438720703,34.9765625,35.0703125,34.8984375,35.0703125,1000
2000-12-29,20.645051956176758,34.84375,35.0703125,34.828125,35.0546875,5400
2001-01-02,20.506183624267578,34.609375,34.984375,34.5625,34.984375,2600
2001-01-03,21.344022750854492,36.0234375,36.0234375,34.2734375,34.65625,3000
2001-01-04,20.867244720458984,35.21875,35.6171875,35.21875,35.5234375,3800
2001-01-05,20.626535415649414,34.8125,35.09375,34.8125,34.8828125,2800
2001-01-08,20.617277145385742,34.796875,34.796875,34.5,34.6328125,1000
2001-01-09,20.617277145385742,34.796875,34.796875,34.796875,34.796875,0
2001-01-10,20.42286491394043,34.46875,34.4765625,34.25,34.25,2800
2001-01-11,20.964452743530273,35.3828125,35.3828125,35.0,35.0,2800
2001-01-12,20.682077407836914,34.90625,35.15625,34.90625,35.15625,2200
2001-01-16,20.668195724487305,34.8828125,34.9765625,34.828125,34.890625,2600
2001-01-17,20.765399932861328,35.046875,35.6171875,35.046875,35.4453125,1600
2001-01-18,21.34865951538086,36.03125,36.03125,35.453125,35.453125,8000
