Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SMH,SMH,SMH,SMH,SMH,SMH
Date,,,,,,
2000-06-05,41.901119232177734,49.34375,50.25,48.15625,48.75,296800
2000-06-06,40.17624282836914,47.3125,50.125,47.3125,49.25,445600
2000-06-07,40.83966064453125,48.09375,48.5,46.59375,47.875,431000
2000-06-08,41.02541732788086,48.3125,49.4375,47.90625,49.40625,390400
2000-06-09,41.874576568603516,49.3125,49.5,48.53125,49.125,195000
2000-06-12,40.255855560302734,47.40625,49.625,47.3125,49.625,112400
2000-06-13,41.954193115234375,49.40625,49.40625,46.65625,47.5,389000
2000-06-14,40.14970779418945,47.28125,49.4375,47.28125,49.40625,195000
2000-06-15,40.49468231201172,47.6875,48.34375,46.625,47.375,217800
2000-06-16,40.760047912597656,48.0,48.46875,47.28125,47.75,173800
2000-06-19,43.51984405517578,51.25,51.25,47.8125,48.1875,436400
2000-06-20,44.15671920776367,52.0,52.875,51.5,51.75,497000
2000-06-21,44.34246826171875,52.21875,52.59375,51.25,51.3125,371600
2000-06-22,42.13994598388672,49.625,51.75,49.5,51.75,782800
2000-06-23,41.39692687988281,48.75,50.09375,48.625,49.6875,685800
2000-06-26,41.39692687988281,48.75,49.6875,48.1875,49.1875,308000
2000-06-27,40.070098876953125,47.1875,49.21875,47.1875,49.125,472200
2000-06-28,40.28239059448242,47.4375,48.5625,47.3125,47.3125,457000
2000-06-29,39.35361862182617,46.34375,47.1875,45.625,46.875,563600
2000-06-30,39.9108772277832,47.0,47.40625,46.15625,46.5,916000
2000-07-03,40.8131217956543,48.0625,48.125,46.875,46.9375,105200
2000-07-05,37.62874221801758,44.3125,45.78125,44.0625,45.25,2724400
2000-07-06,39.16786193847656,46.125,46.375,44.0625,44.96875,2786800
2000-07-07,40.44160842895508,47.625,48.375,46.90625,47.125,359800
2000-07-10,40.3885383605957,47.5625,48.34375,47.25,47.75,187200
2000-07-11,39.75165557861328,46.8125,48.5625,46.28125,47.5,446400
2000-07-12,40.73350524902344,47.96875,48.59375,47.21875,47.9375,229200
2000-07-13,41.768436431884766,49.1875,49.96875,48.71875,49.0,288200
2000-07-14,43.04218673706055,50.6875,50.6875,49.375,50.125,272800
2000-07-17,43.705596923828125,51.46875,51.5625,50.0,50.6875,331000
2000-07-18,41.79497146606445,49.21875,50.65625,49.0,50.5,434800
2000-07-19,40.308929443359375,47.46875,49.15625,46.875,49.15625,745000
2000-07-20,39.67205047607422,46.71875,48.65625,46.34375,47.71875,544400
2000-07-21,38.05331802368164,44.8125,46.25,44.375,46.03125,1251400
2000-07-24,37.89410400390625,44.625,46.375,44.25,44.5,2472800
2000-07-25,39.40668487548828,46.40625,46.46875,45.15625,46.3125,548600
2000-07-26,37.68181228637695,44.375,45.0625,43.28125,44.625,1001600
2000-07-27,35.1077766418457,41.34375,42.6875,41.0,42.6875,1052800
2000-07-28,34.789337158203125,40.96875,42.5,40.125,41.9375,2704800
2000-07-31,35.930416107177734,42.3125,42.6875,40.46875,41.40625,429600
2000-08-01,34.736263275146484,40.90625,42.1875,40.6875,42.1875,1313600
2000-08-02,34.39128875732422,40.5,42.25,40.1875,40.90625,604000
2000-08-03,34.33821487426758,40.4375,40.4375,37.625,37.625,2842000
2000-08-04,33.40943908691406,39.34375,41.4375,38.75,41.4375,1529600
2000-08-07,34.39128875732422,40.5,40.8125,38.84375,39.25,550800
2000-08-08,34.41783142089844,40.53125,41.0625,40.25,40.625,412600
2000-08-09,35.426212310791016,41.71875,42.5625,41.5625,42.125,719800
2000-08-10,34.57704544067383,40.71875,41.96875,40.5625,41.5625,1133200
2000-08-11,35.1077766418457,41.34375,41.53125,39.40625,40.6875,632200
2000-08-14,37.25722885131836,43.875,44.0,41.5,42.1875,1006000
2000-08-15,38.47791290283203,45.3125,45.75,44.25,44.25,1997200
2000-08-16,39.59244155883789,46.625,47.0,46.03125,46.25,1496800
2000-08-17,40.361995697021484,47.53125,47.875,46.15625,46.5,745200
2000-08-18,41.370391845703125,48.71875,49.40625,48.1875,48.75,1050600
2000-08-21,40.33545684814453,47.5,49.375,47.125,49.09375,1581200
2000-08-22,40.73350524902344,47.96875,48.6875,47.59375,48.0,936600
2000-08-23,42.35224151611328,49.875,49.875,47.125,47.5,889400
2000-08-24,42.13994598388672,49.625,49.96875,49.03125,49.5625,2990800
2000-08-25,41.60921096801758,49.0,49.9375,48.59375,49.5,602600
2000-08-28,41.821502685546875,49.25,49.78125,48.71875,48.875,424400
2000-08-29,41.50307846069336,48.875,49.28125,48.625,49.0625,1217200
2000-08-30,41.10501480102539,48.40625,48.84375,47.875,48.84375,500200
2000-08-31,41.901119232177734,49.34375,49.8125,48.3125,48.6875,1105800
2000-09-01,41.5561408996582,48.9375,50.34375,48.625,50.1875,1638600
2000-09-05,40.3885383605957,47.5625,48.5,47.34375,48.3125,708800
2000-09-06,37.81449508666992,44.53125,46.4375,44.53125,46.375,952800
2000-09-07,39.06171417236328,46.0,46.375,44.8125,45.125,685000
2000-09-08,37.20415496826172,43.8125,45.75,43.8125,45.75,649400
2000-09-11,36.62034606933594,43.125,44.71875,42.625,43.5,681200
2000-09-12,35.744651794433594,42.09375,44.21875,42.0,43.625,853800
2000-09-13,36.03655242919922,42.4375,42.46875,41.1875,41.1875,1732800
2000-09-14,36.01001739501953,42.40625,43.75,42.3125,43.5,473200
2000-09-15,35.134307861328125,41.375,42.4375,40.9375,41.75,632200
2000-09-18,34.39128875732422,40.5,42.6875,40.25,41.75,300000
2000-09-19,36.965328216552734,43.53125,43.5625,40.59375,41.25,1573600
2000-09-20,37.25722885131836,43.875,44.28125,42.1875,43.375,1064800
2000-09-21,35.77118682861328,42.125,43.59375,41.96875,43.46875,598600
2000-09-22,33.17060470581055,39.0625,39.1875,37.53125,37.5625,2000600
2000-09-25,31.42345428466797,37.005001068115234,40.125,36.849998474121094,40.125,599200
2000-09-26,31.100767135620117,36.625,37.875,36.224998474121094,37.150001525878906,665800
2000-09-27,30.782333374023438,36.25,37.724998474121094,35.779998779296875,37.599998474121094,1632600
2000-09-28,31.737638473510742,37.375,37.599998474121094,36.275001525878906,36.625,1122200
2000-09-29,30.18790626525879,35.54999923706055,36.900001525878906,35.400001525878906,36.900001525878906,711600
2000-10-02,29.508577346801758,34.75,36.349998474121094,34.505001068115234,36.244998931884766,714000
2000-10-03,29.062761306762695,34.224998474121094,35.869998931884766,33.935001373291016,35.25,1486000
2000-10-04,30.570035934448242,36.0,36.099998474121094,34.125,34.42499923706055,1545200
2000-10-05,29.805776596069336,35.099998474121094,36.0,34.625,35.25,1233000
2000-10-06,28.74432373046875,33.849998474121094,35.619998931884766,33.125,35.125,1237400
2000-10-09,28.234821319580078,33.25,33.875,31.649999618530273,33.599998474121094,1370000
2000-10-10,25.619386672973633,30.170000076293945,32.0,29.655000686645508,31.799999237060547,2466400
2000-10-11,25.453800201416016,29.975000381469727,31.350000381469727,28.875,28.875,3080800
2000-10-12,24.8806095123291,29.299999237060547,31.5,29.1200008392334,31.375,2130400
2000-10-13,27.491804122924805,32.375,32.474998474121094,29.375,29.44499969482422,1336000
2000-10-16,25.92083740234375,30.524999618530273,32.095001220703125,30.25,32.095001220703125,1334000
2000-10-17,24.51122283935547,28.864999771118164,30.299999237060547,28.0049991607666,30.25,2259400
2000-10-18,24.031444549560547,28.299999237060547,30.25,26.875,27.524999618530273,2096800
2000-10-19,27.9163875579834,32.875,32.994998931884766,30.55500030517578,32.0,2875600
2000-10-20,28.340967178344727,33.375,34.25,32.10499954223633,32.494998931884766,3007600
2000-10-23,28.999073028564453,34.150001525878906,35.17499923706055,33.275001525878906,33.900001525878906,985000
2000-10-24,27.067216873168945,31.875,33.625,31.5049991607666,33.625,1131800
2000-10-25,24.96128273010254,29.395000457763672,30.75,29.0049991607666,29.75,1765400
2000-10-26,26.260507583618164,30.924999237060547,31.0,28.655000686645508,29.399999618530273,1894800
2000-10-27,26.196828842163086,30.850000381469727,31.9950008392334,30.0,31.9950008392334,1690800
2000-10-30,26.379392623901367,31.065000534057617,31.75,30.1299991607666,30.875,1611400
2000-10-31,27.9163875579834,32.875,33.494998931884766,31.950000762939453,31.9950008392334,1395800
2000-11-01,26.918615341186523,31.700000762939453,32.529998779296875,31.075000762939453,31.69499969482422,956200
2000-11-02,27.597949981689453,32.5,33.13999938964844,32.099998474121094,32.92499923706055,865000
2000-11-03,27.38140869140625,32.244998931884766,32.75,31.899999618530273,32.459999084472656,309800
2000-11-06,27.38565444946289,32.25,32.79999923706055,32.25,32.70000076293945,340600
2000-11-07,26.107662200927734,30.7450008392334,31.43000030517578,30.3799991607666,31.299999237060547,692400
2000-11-08,24.052677154541016,28.325000762939453,30.700000762939453,28.155000686645508,30.549999237060547,1678400
