Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPXS,SPXS,SPXS,SPXS,SPXS,SPXS
Date,,,,,,
2008-11-19,1088795.125,1285000.0,1300000.0,1074125.0,1112750.0,175
2008-11-20,1284948.0,1516500.0,1586750.0,1232000.0,1362375.0,202
2008-11-21,1083393.625,1278625.0,1644750.0,1268125.0,1437625.0,206
2008-11-24,896667.375,1058250.0,1235375.0,960750.0,1183000.0,222
2008-11-25,847946.9375,1000750.0,1084625.0,962500.0,974875.0,266
2008-11-26,752942.0,888625.0,1062375.0,888000.0,1061250.0,254
2008-11-28,733983.625,866250.0,907750.0,864500.0,905000.0,63
2008-12-01,918697.5625,1084250.0,1088625.0,934125.0,937500.0,207
2008-12-02,814478.1875,961250.0,1083750.0,956375.0,1027625.0,352
2008-12-03,753259.75,889000.0,1042250.0,882625.0,1042250.0,537
2008-12-04,812254.0,958625.0,1004625.0,871000.0,935000.0,512
2008-12-05,721485.625,851500.0,1059625.0,851500.0,1010375.0,549
2008-12-08,654018.625,771875.0,807250.0,735000.0,789250.0,389
2008-12-09,683780.375,807000.0,821000.0,741125.0,789625.0,470
2008-12-10,660267.5625,779250.0,817500.0,754500.0,783250.0,329
2008-12-11,714283.625,843000.0,858750.0,763125.0,800000.0,329
2008-12-12,694795.5,820000.0,925000.0,811125.0,921750.0,334
2008-12-15,722333.125,852500.0,887125.0,804750.0,806750.0,192
2008-12-16,614618.4375,725375.0,832625.0,721875.0,831625.0,238
2008-12-17,629658.25,743125.0,762625.0,706875.0,750000.0,271
2008-12-18,663762.625,783375.0,807625.0,725000.0,728125.0,280
2008-12-19,661962.125,781250.0,793000.0,734000.0,772625.0,268
2008-12-22,695854.5,821250.0,862375.0,777000.0,777625.0,262
2008-12-23,712377.125,840750.0,853125.0,795250.0,807625.0,216
2008-12-24,703056.625,829750.0,850000.0,823750.0,833750.0,84
2008-12-26,688864.125,813000.0,833625.0,809750.0,812500.0,58
2008-12-29,695536.8125,820875.0,857875.0,808750.0,813125.0,142
2008-12-30,649570.25,766625.0,818750.0,762500.0,804500.0,179
2008-12-31,618537.4375,730000.0,764250.0,711500.0,760625.0,145
2009-01-02,564309.5625,666000.0,738250.0,654000.0,723250.0,257
2009-01-05,564944.9375,666750.0,686250.0,647875.0,671250.0,266
2009-01-06,549693.375,648750.0,666500.0,629000.0,646875.0,262
2009-01-07,598095.9375,705875.0,715500.0,673125.0,681250.0,341
2009-01-08,589834.75,696125.0,728250.0,694875.0,718500.0,375
2009-01-09,624150.9375,736625.0,745000.0,689250.0,690750.0,345
2009-01-12,672553.375,793750.0,808625.0,745000.0,748875.0,373
2009-01-13,667363.625,787625.0,814750.0,773750.0,804000.0,427
2009-01-14,733877.75,866125.0,881375.0,826000.0,831125.0,554
2009-01-15,728476.0625,859750.0,946375.0,833000.0,873125.0,669
2009-01-16,711635.75,839875.0,900500.0,812500.0,816000.0,595
2009-01-20,824857.75,973500.0,975000.0,856250.0,863750.0,587
2009-01-21,720320.5625,850125.0,978125.0,842500.0,924500.0,612
2009-01-22,751989.0,887500.0,936000.0,848750.0,897125.0,710
2009-01-23,741397.5625,875000.0,960250.0,848250.0,950500.0,688
2009-01-26,728899.6875,860250.0,885875.0,805125.0,860875.0,502
2009-01-27,702739.0,829375.0,862875.0,816625.0,847000.0,470
2009-01-28,633577.0625,747750.0,787375.0,734125.0,778250.0,513
2009-01-29,693736.375,818750.0,822000.0,775750.0,782500.0,464
2009-01-30,735890.0,868500.0,887000.0,798625.0,809625.0,593
2009-02-02,741715.3125,875375.0,918625.0,859000.0,909625.0,517
2009-02-03,709623.3125,837500.0,889000.0,823375.0,860625.0,520
2009-02-04,720744.4375,850625.0,861125.0,794625.0,825000.0,556
2009-02-05,688334.75,812375.0,887500.0,793125.0,873250.0,707
2009-02-06,629234.75,742625.0,807250.0,734125.0,802750.0,651
2009-02-09,624680.5625,737250.0,757750.0,722125.0,743375.0,362
2009-02-10,710258.8125,838250.0,854250.0,739500.0,760000.0,867
2009-02-11,697972.875,823750.0,860000.0,809500.0,827625.0,659
2009-02-12,696172.3125,821625.0,898125.0,815625.0,864375.0,907
2009-02-13,714919.0625,843750.0,846875.0,805000.0,825250.0,596
2009-02-17,809076.5625,954875.0,954875.0,911375.0,919625.0,821
2009-02-18,815219.5625,962125.0,988250.0,928875.0,930000.0,887
2009-02-19,842015.875,993750.0,1000000.0,921250.0,933375.0,908
2009-02-20,872730.75,1030000.0,1086750.0,988625.0,1050500.0,1174
2009-02-23,954708.1875,1126750.0,1137500.0,987500.0,987750.0,1131
2009-02-24,848264.5,1001125.0,1127000.0,985750.0,1104625.0,1001
2009-02-25,870824.375,1027750.0,1074000.0,968250.0,1019125.0,1261
2009-02-26,911707.25,1076000.0,1081625.0,969250.0,990125.0,934
2009-02-27,959368.375,1132250.0,1152500.0,1075250.0,1141625.0,963
2009-03-02,1100975.25,1299375.0,1313625.0,1192125.0,1210000.0,1058
2009-03-03,1127771.625,1331000.0,1358375.0,1243000.0,1246875.0,1028
2009-03-04,1043464.125,1231500.0,1309125.0,1169750.0,1264250.0,1054
2009-03-05,1167807.0,1378250.0,1418750.0,1277000.0,1317250.0,1180
2009-03-06,1165159.125,1375125.0,1487500.0,1286375.0,1346750.0,1076
2009-03-09,1205088.625,1422250.0,1450000.0,1314000.0,1440875.0,927
2009-03-10,984999.625,1162500.0,1345875.0,1158250.0,1329750.0,1004
2009-03-11,973031.375,1148375.0,1179125.0,1089000.0,1123750.0,956
2009-03-12,854831.25,1008875.0,1176375.0,994500.0,1147375.0,731
2009-03-13,829729.75,979250.0,1037000.0,947250.0,984250.0,868
2009-03-16,841380.3125,993000.0,996875.0,914750.0,950000.0,703
2009-03-17,766605.125,904750.0,1012625.0,901125.0,989875.0,686
2009-03-18,712059.375,840375.0,940875.0,807875.0,916625.0,854
2009-03-19,735360.5,867875.0,876000.0,807500.0,809125.0,687
2009-03-20,781962.5625,922875.0,930750.0,851875.0,856125.0,628
2009-03-23,618537.4375,730000.0,864125.0,730000.0,852125.0,691
2009-03-24,646075.125,762500.0,771500.0,723875.0,755125.0,566
2009-03-25,636542.8125,751250.0,814125.0,709750.0,751375.0,760
2009-03-26,591529.4375,698125.0,745125.0,694125.0,723000.0,702
2009-03-27,622667.9375,734875.0,742250.0,713375.0,723625.0,552
2009-03-30,685369.1875,808875.0,834500.0,788250.0,789750.0,476
2009-03-31,669799.6875,790500.0,802625.0,742250.0,786375.0,642
2009-04-01,628705.1875,742000.0,826250.0,733375.0,819000.0,742
2009-04-02,575006.9375,678625.0,694750.0,645625.0,683375.0,828
2009-04-03,554035.75,653875.0,694125.0,652750.0,675875.0,617
2009-04-06,568122.375,670500.0,699250.0,664500.0,675750.0,564
2009-04-07,608157.75,717750.0,720000.0,692375.0,703750.0,526
2009-04-08,585280.625,690750.0,719875.0,684500.0,707625.0,631
2009-04-09,516542.125,609625.0,647625.0,609375.0,639625.0,621
2009-04-13,514741.625,607500.0,635875.0,594250.0,628500.0,509
2009-04-14,544927.3125,643125.0,646125.0,611125.0,631125.0,648
2009-04-15,523638.46875,618000.0,658125.0,616375.0,653125.0,634
2009-04-16,498536.90625,588375.0,629125.0,577500.0,605875.0,668
2009-04-17,490487.46875,578875.0,598375.0,567500.0,584875.0,622
2009-04-20,551388.0625,650750.0,652875.0,606625.0,608250.0,680
2009-04-21,520249.375,614000.0,669750.0,611875.0,667875.0,818
2009-04-22,526921.9375,621875.0,635125.0,583125.0,633000.0,941
2009-04-23,513682.4375,606250.0,642625.0,604000.0,617125.0,905
2009-04-24,489322.34375,577500.0,599750.0,562750.0,593875.0,895
2009-04-27,501502.5,591875.0,599500.0,569500.0,596250.0,832
2009-04-28,504997.6875,596000.0,614375.0,577500.0,609500.0,742
2009-04-29,472376.0625,557500.0,582875.0,539125.0,579125.0,863
2009-04-30,472376.0625,557500.0,564875.0,526000.0,536250.0,786
2009-05-01,463161.65625,546625.0,569375.0,541625.0,555375.0,623
2009-05-04,415924.0,490875.0,538000.0,490625.0,535625.0,808
2009-05-05,418465.96875,493875.0,507000.0,489000.0,495375.0,701
2009-05-06,400142.875,472250.0,496250.0,469000.0,478125.0,778
2009-05-07,416771.34375,491875.0,501000.0,455375.0,457375.0,945
2009-05-08,385844.5,455375.0,483625.0,453125.0,473375.0,971
2009-05-11,406285.8125,479500.0,485125.0,469125.0,475000.0,606
2009-05-12,412322.96875,486625.0,505375.0,472250.0,475625.0,952
2009-05-13,444414.875,524500.0,528125.0,504000.0,509000.0,948
2009-05-14,433929.40625,512125.0,529875.0,500000.0,524875.0,864
2009-05-15,443991.1875,524000.0,533500.0,501375.0,512125.0,931
2009-05-18,403320.28125,476000.0,511500.0,475375.0,508500.0,867
2009-05-19,405014.875,478000.0,483875.0,464750.0,477500.0,685
2009-05-20,412322.96875,486625.0,488125.0,450375.0,465625.0,887
2009-05-21,430222.375,507750.0,523125.0,498000.0,504125.0,866
2009-05-22,432446.625,510375.0,517000.0,494375.0,504250.0,677
2009-05-26,399613.25,471625.0,522250.0,467500.0,522000.0,822
2009-05-27,419101.46875,494625.0,497750.0,463875.0,469250.0,802
2009-05-28,400884.3125,473125.0,505625.0,469625.0,482000.0,962
2009-05-29,382137.46875,451000.0,478750.0,446375.0,468000.0,655
2009-06-01,352905.15625,416500.0,437250.0,410375.0,433625.0,839
2009-06-02,351634.25,415000.0,424250.0,407750.0,420375.0,702
2009-06-03,365509.0,431375.0,442875.0,424000.0,425250.0,757
2009-06-04,354599.84375,418500.0,436250.0,417000.0,426750.0,604
2009-06-05,354811.65625,418750.0,428625.0,403000.0,404875.0,836
2009-06-08,357989.0625,422500.0,438750.0,412125.0,426750.0,704
2009-06-09,351952.0625,415375.0,425250.0,410000.0,418125.0,658
2009-06-10,356188.5625,420375.0,435375.0,405125.0,405125.0,818
2009-06-11,349621.875,412625.0,418000.0,397500.0,418000.0,855
2009-06-12,347291.8125,409875.0,425250.0,409875.0,418750.0,642
2009-06-15,372499.3125,439625.0,446250.0,424500.0,425375.0,747
2009-06-16,388598.25,458625.0,459125.0,433500.0,435125.0,825
2009-06-17,389233.65625,459375.0,471000.0,448250.0,458750.0,1036
2009-06-18,382878.875,451875.0,465000.0,444125.0,457750.0,767
2009-06-19,377900.90625,446000.0,452750.0,435875.0,438125.0,701
2009-06-22,411052.0,485125.0,485625.0,458375.0,459625.0,860
2009-06-23,410416.5,484375.0,493250.0,476250.0,483000.0,881
2009-06-24,400460.59375,472625.0,480000.0,456875.0,472375.0,866
2009-06-25,374088.03125,441500.0,480875.0,440000.0,479125.0,1188
2009-06-26,375570.8125,443250.0,451625.0,437125.0,445750.0,674
2009-06-29,365403.0625,431250.0,446875.0,429625.0,438750.0,676
2009-06-30,372287.5625,439375.0,449875.0,426000.0,431625.0,933
2009-07-01,368262.78125,434625.0,435750.0,422000.0,434625.0,868
2009-07-02,397812.75,469500.0,470000.0,451125.0,451750.0,1018
2009-07-06,398554.1875,470375.0,489375.0,469875.0,485000.0,1032
2009-07-07,422172.96875,498250.0,499625.0,471750.0,473625.0,1227
2009-07-08,424503.0625,501000.0,518375.0,487750.0,491250.0,1640
2009-07-09,421537.5,497500.0,501750.0,485000.0,489625.0,1047
2009-07-10,424291.25,500750.0,511250.0,491875.0,506125.0,1148
2009-07-13,393682.125,464625.0,508000.0,464125.0,494000.0,899
2009-07-14,385420.75,454875.0,470375.0,454625.0,460750.0,1030
2009-07-15,352163.90625,415625.0,439375.0,412625.0,437250.0,1025
2009-07-16,340831.0625,402250.0,421750.0,398500.0,419625.0,961
2009-07-17,341466.53125,403000.0,411375.0,401000.0,404500.0,757
2009-07-20,330875.125,390500.0,402250.0,388125.0,395125.0,801
2009-07-21,326214.90625,385000.0,399375.0,380250.0,381000.0,986
2009-07-22,325367.625,384000.0,393125.0,377750.0,392625.0,1027
2009-07-23,302702.0625,357250.0,384625.0,353500.0,383750.0,1213
2009-07-24,298571.40625,352375.0,368750.0,352250.0,363625.0,941
2009-07-27,296982.59375,350500.0,361250.0,348875.0,354125.0,852
2009-07-28,299206.8125,353125.0,364125.0,350000.0,357875.0,1175
2009-07-29,302913.875,357500.0,365250.0,355375.0,360250.0,1101
2009-07-30,293805.25,346750.0,347875.0,334125.0,345375.0,1237
2009-07-31,292746.125,345500.0,349875.0,338375.0,347125.0,1069
2009-08-03,278341.78125,328500.0,339750.0,326875.0,334125.0,916
2009-08-04,274528.9375,324000.0,334000.0,322875.0,332000.0,972
2009-08-05,277176.78125,327125.0,335625.0,323000.0,324125.0,888
2009-08-06,281731.0625,332500.0,336750.0,320875.0,323250.0,777
2009-08-07,269974.65625,318625.0,327500.0,310750.0,322500.0,1060
2009-08-10,272410.6875,321500.0,327250.0,318375.0,322375.0,628
2009-08-11,282154.78125,333000.0,335625.0,324375.0,325250.0,790
2009-08-12,272304.75,321375.0,335000.0,314500.0,334625.0,1031
2009-08-13,266373.5625,314375.0,327125.0,314250.0,317250.0,875
2009-08-14,273152.03125,322375.0,331875.0,314375.0,315250.0,825
2009-08-17,293487.5,346375.0,348125.0,340250.0,341375.0,803
2009-08-18,285967.5625,337500.0,346125.0,334375.0,344125.0,757
2009-08-19,278024.0625,328125.0,346875.0,325875.0,346500.0,986
2009-08-20,270398.28125,319125.0,329875.0,316625.0,327000.0,711
2009-08-21,254934.890625,300875.0,313000.0,298750.0,311375.0,878
2009-08-24,255146.6875,301125.0,303875.0,291750.0,296250.0,756
2009-08-25,253134.375,298750.0,301000.0,290625.0,297375.0,851
