1985-10, N/A
1985-11, +9.16%
1985-12, +4.95%
1986-01, +0.48%
1986-02, +5.64%
1986-03, +6.01%
1986-04, +4.06%
1986-05, +5.33%
1986-06, -0.33%
1986-07, -11.01%
1986-08, +4.83%
1986-09, -9.36%
1986-10, +5.08%
1986-11, +2.39%
1986-12, -4.42%
1987-01, +17.87%
1987-02, +9.64%
1987-03, +1.80%
1987-04, -0.65%
1987-05, +2.13%
1987-06, +0.25%
1987-07, +3.76%
1987-08, +6.74%
1987-09, -1.94%
1987-10, -26.98%
1987-11, -8.63%
1987-12, +13.95%
1988-01, +1.84%
1988-02, +8.49%
1988-03, +0.36%
1988-04, +1.54%
1988-05, -1.46%
1988-06, +9.05%
1988-07, -4.16%
1988-08, -5.61%
1988-09, +4.89%
1988-10, -2.56%
1988-11, -3.20%
1988-12, +4.86%
1989-01, +5.11%
1989-02, -1.44%
1989-03, +1.13%
1989-04, +7.85%
1989-05, +7.02%
1989-06, -4.64%
1989-07, +4.74%
1989-08, +3.61%
1989-09, +1.98%
1989-10, -1.67%
1989-11, +0.82%
1989-12, -0.27%
1990-01, -9.78%
1990-02, +2.96%
1990-03, +2.52%
1990-04, -3.44%
1990-05, +14.74%
1990-06, +0.98%
1990-07, -6.32%
1990-08, -13.33%
1990-09, -8.55%
1990-10, -2.54%
1990-11, +11.61%
1990-12, +4.13%
1991-01, +15.91%
1991-02, +7.61%
1991-03, +5.91%
1991-04, -0.47%
1991-05, +5.82%
1991-06, -8.89%
1991-07, +7.07%
1991-08, +5.60%
1991-09, +0.05%
1991-10, +1.73%
1991-11, -2.64%
1991-12, +16.18%
1992-01, +2.25%
1992-02, +2.24%
1992-03, -6.60%
1992-04, -4.70%
1992-05, +2.42%
1992-06, -4.46%
1992-07, +3.21%
1992-08, -3.74%
1992-09, +4.65%
1992-10, +5.10%
1992-11, +6.62%
1992-12, +2.63%
1993-01, +2.88%
1993-02, -5.24%
1993-03, +2.36%
1993-04, -5.42%
1993-05, +8.29%
1993-06, -0.54%
1993-07, -3.62%
1993-08, +5.61%
1993-09, +2.70%
1993-10, +2.16%
1993-11, -1.08%
1993-12, +2.98%
1994-01, +3.94%
1994-02, -0.44%
1994-03, -7.09%
1994-04, -2.54%
1994-05, +1.50%
1994-06, -4.90%
1994-07, +2.74%
1994-08, +7.49%
1994-09, -1.02%
1994-10, +4.87%
1994-11, -1.99%
1994-12, -0.14%
1995-01, +0.26%
1995-02, +6.70%
1995-03, +3.39%
1995-04, +5.01%
1995-05, +3.95%
1995-06, +10.23%
1995-07, +5.73%
1995-08, +1.39%
1995-09, +1.44%
1995-10, +2.34%
1995-11, -0.85%
1995-12, -2.95%
1996-01, +2.71%
1996-02, +5.24%
1996-03, -2.11%
1996-04, +9.36%
1996-05, +3.85%
1996-06, -2.18%
1996-07, -6.10%
1996-08, +4.33%
1996-09, +11.15%
1996-10, +1.96%
1996-11, +10.91%
1996-12, -1.52%
1997-01, +12.20%
1997-02, -7.71%
1997-03, -6.28%
1997-04, +9.75%
1997-05, +9.62%
1997-06, -0.16%
1997-07, +15.64%
1997-08, -2.98%
1997-09, +2.15%
1997-10, -7.07%
1997-11, +3.03%
1997-12, -5.68%
1998-01, +8.10%
1998-02, +11.48%
1998-03, +2.22%
1998-04, +2.25%
1998-05, -4.49%
1998-06, +12.19%
1998-07, +2.99%
1998-08, -17.20%
1998-09, +17.99%
1998-10, +4.09%
1998-11, +11.24%
1998-12, +17.85%
1999-01, +15.86%
1999-02, -9.49%
1999-03, +9.41%
1999-04, +1.42%
1999-05, -2.19%
1999-06, +9.91%
1999-07, -1.13%
1999-08, +5.55%
1999-09, +0.46%
1999-10, +9.53%
1999-11, +12.48%
1999-12, +24.98%
2000-01, -3.72%
2000-02, +19.52%
2000-03, +3.07%
2000-04, -14.20%
2000-05, -11.90%
2000-06, +13.23%
2000-07, -4.10%
2000-08, +12.97%
2000-09, -12.43%
2000-10, -8.07%
2000-11, -23.63%
2000-12, -6.58%
2001-01, +10.73%
2001-02, -26.40%
2001-03, -17.56%
2001-04, +17.92%
2001-05, -2.98%
2001-06, +1.68%
2001-07, -8.01%
2001-08, -12.71%
2001-09, -20.50%
2001-10, +16.81%
2001-11, +16.95%
2001-12, -1.19%
2002-01, -1.70%
2002-02, -12.32%
2002-03, +6.89%
2002-04, -12.10%
2002-05, -5.38%
2002-06, -12.99%
2002-07, -8.49%
2002-08, -2.05%
2002-09, -11.66%
2002-10, +18.86%
2002-11, +12.79%
2002-12, -11.80%
2003-01, -0.13%
2003-02, +2.72%
2003-03, +0.88%
2003-04, +8.58%
2003-05, +8.30%
2003-06, +0.32%
2003-07, +6.26%
2003-08, +5.03%
2003-09, -2.80%
2003-10, +8.64%
2003-11, +0.55%
2003-12, +3.07%
2004-01, +1.71%
2004-02, -1.52%
2004-03, -2.17%
2004-04, -2.58%
2004-05, +4.63%
2004-06, +3.44%
2004-07, -7.66%
2004-08, -2.26%
2004-09, +3.22%
2004-10, +5.24%
2004-11, +5.70%
2004-12, +3.16%
2005-01, -6.26%
2005-02, -0.57%
2005-03, -1.89%
2005-04, -4.16%
2005-05, +8.58%
2005-06, -3.18%
2005-07, +7.47%
2005-08, -1.46%
2005-09, +1.26%
2005-10, -1.40%
2005-11, +5.91%
2005-12, -1.64%
2006-01, +3.98%
2006-02, -2.35%
2006-03, +1.98%
2006-04, -0.17%
2006-05, -7.12%
2006-06, -0.28%
2006-07, -4.18%
2006-08, +4.66%
2006-09, +4.71%
2006-10, +4.74%
2006-11, +3.39%
2006-12, -1.92%
2007-01, +2.01%
2007-02, -1.71%
2007-03, +0.61%
2007-04, +5.38%
2007-05, +3.24%
2007-06, +0.31%
2007-07, -0.11%
2007-08, +2.93%
2007-09, +5.15%
2007-10, +7.07%
2007-11, -6.69%
2007-12, -0.20%
2008-01, -11.68%
2008-02, -5.22%
2008-03, +2.10%
2008-04, +7.62%
2008-05, +5.99%
2008-06, -9.62%
2008-07, +0.66%
2008-08, +1.26%
2008-09, -14.84%
2008-10, -16.30%
2008-11, -11.17%
2008-12, +2.18%
2009-01, -2.59%
2009-02, -5.36%
2009-03, +10.74%
2009-04, +12.72%
2009-05, +2.96%
2009-06, +2.90%
2009-07, +8.54%
2009-08, +1.36%
2009-09, +5.77%
2009-10, -3.02%
2009-11, +6.02%
2009-12, +5.26%
2010-01, -6.41%
2010-02, +4.46%
2010-03, +7.68%
2010-04, +2.16%
2010-05, -7.41%
2010-06, -6.11%
2010-07, +7.18%
2010-08, -5.18%
2010-09, +13.05%
2010-10, +6.33%
2010-11, -0.34%
2010-12, +4.75%
2011-01, +2.89%
2011-02, +3.03%
2011-03, -0.51%
2011-04, +2.78%
2011-05, -1.31%
2011-06, -2.00%
2011-07, +1.62%
2011-08, -5.15%
2011-09, -4.54%
2011-10, +10.33%
2011-11, -2.75%
2011-12, -0.76%
2012-01, +8.35%
2012-02, +6.29%
2012-03, +5.04%
2012-04, -1.15%
2012-05, -7.30%
2012-06, +3.60%
2012-07, +1.02%
2012-08, +4.91%
2012-09, +0.97%
2012-10, -5.40%
2012-11, +1.13%
2012-12, -0.63%
2013-01, +2.65%
2013-02, +0.26%
2013-03, +2.93%
2013-04, +2.44%
2013-05, +3.27%
2013-06, -2.42%
2013-07, +6.21%
2013-08, -0.53%
2013-09, +4.70%
2013-10, +4.96%
2013-11, +3.26%
