日期,開市,最高,最低,關閉 收市價已按拆股調整。,調整後的收市價 收市價因拆股和股息及/或資本盈利分派而經過調整。,成交量
2025年8月28日,1.694,1.698,1.691,1.693,1.693,216348300
2025年8月26日,1.691,1.692,1.688,1.69,1.69,270055126
2025年8月25日,1.7,1.701,1.695,1.698,1.698,443558410
2025年8月22日,1.681,1.687,1.672,1.676,1.676,489110400
2025年8月21日,1.676,1.69,1.676,1.69,1.69,443889233
2025年8月20日,1.678,1.686,1.675,1.684,1.684,525734200
2025年8月19日,1.709,1.71,1.701,1.703,1.703,342645917
2025年8月18日,1.715,1.718,1.708,1.71,1.71,445491399
2025年8月15日,1.717,1.722,1.717,1.722,1.722,340334171
2025年8月14日,1.718,1.719,1.714,1.717,1.717,328203900
2025年8月13日,1.721,1.722,1.715,1.721,1.721,535596000
2025年8月12日,1.702,1.706,1.699,1.703,1.703,440598501
2025年8月11日,1.706,1.708,1.704,1.708,1.708,383149064
2025年8月8日,1.691,1.693,1.688,1.691,1.691,288685465
2025年8月7日,1.689,1.692,1.683,1.684,1.684,380851520
2025年8月6日,1.658,1.671,1.656,1.67,1.67,530911427
2025年8月5日,1.672,1.68,1.67,1.679,1.679,387061715
2025年8月4日,1.643,1.649,1.643,1.648,1.648,512890500
2025年8月1日,1.674,1.678,1.67,1.671,1.671,585054200
2025年7月31日,1.703,1.706,1.701,1.704,1.704,385239728
2025年7月30日,1.679,1.682,1.677,1.68,1.68,226949112
2025年7月29日,1.683,1.685,1.68,1.683,1.683,326410325
2025年7月28日,1.677,1.684,1.677,1.684,1.684,272406200
2025年7月25日,1.667,1.669,1.665,1.666,1.666,289965400
2025年7月24日,1.667,1.668,1.661,1.663,1.663,301682600
2025年7月23日,1.657,1.66,1.655,1.66,1.66,395570328
2025年7月22日,1.666,1.669,1.661,1.663,1.663,320435518
2025年7月21日,1.663,1.665,1.661,1.662,1.662,231386634
2025年7月18日,1.658,1.666,1.658,1.662,1.662,387766998
2025年7月17日,1.644,1.652,1.642,1.65,1.65,406349369
2025年7月16日,1.64,1.643,1.637,1.638,1.638,349123400
2025年7月15日,1.635,1.649,1.634,1.648,1.648,766767332
2025年7月14日,1.626,1.627,1.622,1.623,1.623,391132900
2025年7月11日,1.634,1.636,1.632,1.633,1.633,378041700
2025年7月10日,1.637,1.64,1.636,1.639,1.639,338654000
