Date,Open,High,Low,Close,Adj Close,Volume
2026-02-09,1.7810,1.7900,1.7800,1.7860,1.7860,51180600
2026-02-01,1.7970,1.7990,1.7460,1.7480,1.7480,354910925
2026-01-01,1.8080,1.8340,1.7830,1.8030,1.8030,1154764099
2025-12-01,1.8310,1.8490,1.7820,1.8080,1.8080,1597670995
2025-11-01,1.8020,1.8530,1.7230,1.8400,1.8400,2208190107
2025-10-01,1.7150,1.8360,1.6870,1.7980,1.7980,2041432524
2025-09-01,1.6630,1.7200,1.6470,1.7150,1.7150,921291026
2025-08-01,1.6390,1.6770,1.6130,1.6650,1.6650,1017949607
2025-07-01,1.5980,1.6620,1.5930,1.6600,1.6600,1009915110
2025-06-01,1.5240,1.6000,1.5240,1.5970,1.5970,933880398
2025-05-01,1.4470,1.5500,1.4470,1.5240,1.5240,978478421
2025-04-01,1.4590,1.4770,1.2830,1.4470,1.4470,1853989169
2025-03-01,1.5570,1.5660,1.4440,1.4460,1.4460,2230391838
2025-02-01,1.6360,1.6470,1.5340,1.5380,1.5380,1485851559
2025-01-01,1.5950,1.6560,1.5780,1.6360,1.6360,2382253096
2024-12-01,1.6060,1.6560,1.5710,1.5950,1.5950,3043310116
2024-11-01,1.4600,1.6240,1.4600,1.5960,1.5960,2516023370
2024-10-01,1.4470,1.5190,1.4110,1.4860,1.4860,1373351900
2024-09-01,1.4850,1.5080,1.4110,1.4470,1.4470,1187769323
2024-08-01,1.4790,1.4980,1.3300,1.4770,1.4770,1073288136
2024-07-01,1.4520,1.5310,1.4170,1.4540,1.4540,1392750924
2024-06-01,1.3750,1.4630,1.3740,1.4011,1.4011,597158288
2024-05-01,1.3310,1.3900,1.3270,1.3600,1.3600,385458300
2024-04-01,1.3800,1.3880,1.2800,1.3310,1.3310,797142500
2024-03-01,1.3180,1.3840,1.3140,1.3810,1.3810,845765600
2024-02-01,1.2420,1.3260,1.2420,1.3130,1.3130,447343600
2024-01-01,1.2260,1.2690,1.2070,1.2600,1.2600,640925400
2023-12-01,1.1730,1.2320,1.1710,1.2249,1.2249,179983600
2023-11-01,1.0830,1.1740,1.0830,1.1710,1.1710,243250600
2023-10-01,1.1090,1.1350,1.0700,1.0800,1.0800,101518000
2023-09-01,1.1700,1.1700,1.1020,1.1102,1.1102,141746700
2023-08-01,1.1800,1.1870,1.1320,1.1710,1.1710,136446300
2023-07-01,1.1660,1.1840,1.1400,1.1780,1.1780,142438300
2023-06-01,1.0750,1.1550,1.0720,1.1540,1.1540,100018200
2023-05-01,1.0290,1.0830,1.0150,1.0750,1.0750,55214500
2023-04-01,1.0263,1.0330,1.0120,1.0290,1.0290,339486200
2023-03-01,1.0000,0.0000,0.0000,1.0216,1.0216,
