Date,Close/Last,Volume,Open,High,Low
08/12/2022,21.6,57238440,20.24,21.72,19.98
08/11/2022,19.78,70069240,20.468,21.6,19.68
08/10/2022,19.91,69125330,19.08,20.02,18.39
08/09/2022,17.69,65153610,19.2299,19.2299,16.91
08/08/2022,20.54,59705820,20.65,21.39,19.57
08/05/2022,21.56,60067850,20.96,22.12,20.5724
08/04/2022,22.07,56294650,21.47,22.27,21.22
08/03/2022,21.55,57214560,19.98,21.72,19.87
08/02/2022,19.92,60816470,19.43,20.8694,19.11
08/01/2022,20.01,61205080,19.41,20.605,19.03
07/29/2022,19.83,61313520,18.5741,19.99,18.3201
07/28/2022,19.37,69548090,18.855,19.52,17.575
07/27/2022,18.73,78797560,17.32,19.12,17.1701
07/26/2022,16.43,48959680,16.926,17.24,16.25
07/25/2022,17.3,43336790,17.225,17.3699,16.43
07/22/2022,17.65,65689500,18.84,18.91,17.15
07/21/2022,19.1,80210820,18.52,19.1199,17.6814
07/20/2022,18.2,85890570,16.83,18.44,16.5
07/19/2022,16.95,78348510,15.61,17.17,15.5
07/18/2022,14.92,83926600,15.83,16.18,14.63
07/15/2022,15.11,74112370,14.75,15.15,14.04
07/14/2022,14.07,78227930,13.165,14.26,12.54
07/13/2022,13.29,70014140,12.18,13.56,12.125
07/12/2022,12.97,53368390,13.18,13.45,12.72
07/11/2022,12.91,52520580,13.25,13.45,12.65
07/08/2022,13.91,77437190,13.13,14.17,12.96
07/07/2022,13.71,75926270,12.91,13.8899,12.91
07/06/2022,12.09,77177810,11.92,12.4966,11.52
07/05/2022,11.85,82942170,10.74,11.9,10.53
07/01/2022,11.6,92067120,12.49,12.6,11.13
06/30/2022,13.1,70274920,13.03,13.8297,12.38
06/29/2022,13.55,61516650,14,14.04,13.0335
06/28/2022,14.56,57344570,16,16.58,14.5165
06/27/2022,15.8,43426920,16.31,16.458,15.3712
06/24/2022,15.81,60548240,14.635,15.85,14.57
06/23/2022,14.01,47625270,14.58,14.59,13.34
06/22/2022,14.29,49362220,14.04,14.97,13.94
06/21/2022,14.8,57522790,14.54,15.43,14.49
06/17/2022,13.7,64012850,13.65,14.02,12.78
06/16/2022,13.57,90753050,15.14,15.19,12.99
06/15/2022,16.61,77001840,16.35,17.43,15.47
06/14/2022,15.76,52253410,16.01,16.22,15.21
06/13/2022,15.55,77061320,16.925,17.405,15.34
06/10/2022,18.81,58923990,19.98,20.51,18.66
06/09/2022,21.09,37937150,22.39,23.56,21.03
06/08/2022,22.91,38501550,24.165,24.46,22.42
06/07/2022,24.6,37067470,23.015,24.74,22.54
06/06/2022,23.91,40513980,25.245,25.58,23.48
06/03/2022,23.93,42093180,24.55,24.949,23.5
06/02/2022,26.2,49439010,23.4,26.28,23.3
06/01/2022,23.71,52378460,25.34,25.715,22.71
05/31/2022,24.86,48671870,25.14,25.595,23.75
05/27/2022,25.26,54680350,23.6,25.439,23.592
05/26/2022,22.54,60520000,19.61,22.83,19.48
05/25/2022,20.19,54536340,18.73,20.715,18.72
05/24/2022,19.1,57291400,19.69,19.88,18.44
05/23/2022,20.63,54498750,19.93,20.83,19.4501
05/20/2022,20.36,86718230,21.54,21.65,17.6601
05/19/2022,20.51,62522000,20.55,22.04,19.9
05/18/2022,20.85,61497840,23.395,24.345,20.53
