Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,515008.0,520000.0,488384.0,492672.0,438482.75,8
2010-02-12,507328.0,507712.0,486080.0,488576.0,434837.1875,8
2010-02-16,477952.0,485952.0,469760.0,471232.0,419400.90625,7
2010-02-17,464960.0,471936.0,462656.0,464000.0,412964.3125,7
2010-02-18,463424.0,465600.0,451520.0,452864.0,403053.1875,7
2010-02-19,456960.0,460672.0,448000.0,454080.0,404135.40625,7
2010-02-22,449152.0,461952.0,448832.0,456896.0,406641.75,5
2010-02-23,457856.0,480256.0,457792.0,475264.0,422989.4375,8
2010-02-24,467072.0,469184.0,454784.0,460416.0,409774.5625,10
2010-02-25,474944.0,483840.0,457216.0,457216.0,406926.53125,9
2010-02-26,460800.0,465216.0,453184.0,454720.0,404705.0625,7
2010-03-01,449408.0,449728.0,433280.0,434688.0,386876.375,9
2010-03-02,430720.0,433984.0,423552.0,431360.0,383914.4375,3
2010-03-03,429824.0,434624.0,424000.0,431360.0,383914.4375,4
2010-03-04,428992.0,434944.0,424448.0,425984.0,379129.78125,7
2010-03-05,415360.0,418176.0,404992.0,407104.0,362326.375,9
2010-03-08,404416.0,405184.0,401280.0,403776.0,359364.4375,4
2010-03-09,407296.0,407296.0,390400.0,396800.0,353155.6875,13
2010-03-10,393280.0,393984.0,384704.0,387264.0,344668.5625,9
2010-03-11,389632.0,391680.0,383232.0,383488.0,341307.9375,10
2010-03-12,378624.0,386496.0,378624.0,382912.0,340795.28125,8
2010-03-15,385536.0,392896.0,382592.0,385216.0,342845.84375,9
2010-03-16,381824.0,384960.0,376448.0,377792.0,336238.4375,8
2010-03-17,376512.0,377600.0,369728.0,376000.0,334643.59375,11
2010-03-18,373824.0,376320.0,369984.0,371520.0,330656.3125,9
2010-03-19,378240.0,381504.0,367232.0,378240.0,336637.125,14
2010-03-22,381760.0,383360.0,362944.0,367616.0,327181.6875,23
2010-03-23,365696.0,370112.0,359040.0,360320.0,320688.15625,17
2010-03-24,362112.0,367296.0,361664.0,364160.0,324105.8125,19
2010-03-25,356352.0,367616.0,352000.0,367168.0,326782.90625,21
2010-03-26,362304.0,371008.0,357952.0,364928.0,324789.34375,15
2010-03-29,359936.0,362816.0,356992.0,360192.0,320574.25,12
2010-03-30,357056.0,362880.0,353600.0,356672.0,317441.40625,8
2010-03-31,360512.0,363328.0,355520.0,360576.0,320916.03125,17
2010-04-01,357248.0,369472.0,350208.0,361344.0,321599.59375,14
2010-04-05,359616.0,361728.0,349120.0,351360.0,312713.6875,18
2010-04-06,354048.0,355520.0,345408.0,348544.0,310207.4375,14
2010-04-07,351040.0,356288.0,346240.0,350336.0,311802.28125,17
2010-04-08,353984.0,358848.0,347136.0,349120.0,310720.09375,10
2010-04-09,347840.0,350528.0,341952.0,342528.0,304853.15625,12
2010-04-12,341568.0,343424.0,338816.0,341440.0,303884.78125,12
2010-04-13,342592.0,344448.0,335616.0,336064.0,299100.0625,22
2010-04-14,330880.0,332160.0,324160.0,324352.0,288676.34375,23
2010-04-15,324352.0,324352.0,319168.0,320384.0,285144.78125,20
2010-04-16,323392.0,337280.0,320064.0,330496.0,294144.5625,40
2010-04-19,334976.0,343744.0,329216.0,331904.0,295397.625,39
2010-04-20,326400.0,333056.0,324544.0,327424.0,291410.375,22
2010-04-21,320320.0,326592.0,318208.0,320896.0,285600.40625,25
2010-04-22,330432.0,335488.0,314944.0,315904.0,281157.5625,49
2010-04-23,316224.0,319104.0,311104.0,312064.0,277739.9375,17
2010-04-26,311232.0,315392.0,309312.0,314176.0,279619.5625,21
2010-04-27,317440.0,336192.0,313600.0,333440.0,296764.75,44
2010-04-28,328000.0,340672.0,328000.0,332928.0,296309.0,80
2010-04-29,328320.0,328320.0,313984.0,315712.0,280986.625,44
2010-04-30,316224.0,335040.0,314688.0,334400.0,297619.125,41
2010-05-03,330304.0,330496.0,315520.0,320192.0,284973.84375,37
2010-05-04,332160.0,355456.0,332032.0,349184.0,310777.0625,71
2010-05-05,358848.0,365760.0,347520.0,353856.0,314935.125,76
2010-05-06,361152.0,482624.0,304320.0,389888.0,347003.9375,116
2010-05-07,398720.0,441920.0,383936.0,415424.0,369731.1875,118
2010-05-10,364288.0,366592.0,353600.0,355072.0,316017.4375,88
2010-05-11,364096.0,366720.0,340544.0,354688.0,315675.625,63
