Date,Close/Last,Volume,Open,High,Low
08/12/2022,37.98,105593500,36.6,38.05,36.235
08/11/2022,35.95,136680500,37.33,38.02,35.67
08/10/2022,36.5,135777200,36.135,36.64,35.31
08/09/2022,33.73,109203000,34.28,34.37,33.19
08/08/2022,34.93,134380400,35.6,36.83,34.435
08/05/2022,35.29,141949300,34.43,35.98,34.15
08/04/2022,36.15,126783600,35.69,36.265,34.96
08/03/2022,35.64,147106900,33.55,35.95,33.31
08/02/2022,33,162687500,32.54,34.3499,32.21
08/01/2022,33.31,142641500,32.78,34.42,32.4399
07/29/2022,33.36,146073200,32.13,33.65,31.6702
07/28/2022,31.62,162035900,30.675,31.82,29.52
07/27/2022,30.74,170959500,28.6,31.25,28.43
07/26/2022,27.33,115877800,28.49,28.57,27.05
07/25/2022,29.09,110448800,29.53,29.67,28.41
07/22/2022,29.53,149400400,30.88,31.53,28.95
07/21/2022,31.16,159690900,30.01,31.175,29.22
07/20/2022,29.89,188563100,28.66,30.25,28.44
07/19/2022,28.46,149321700,27.15,28.62,26.6907
07/18/2022,26.17,159950200,27.61,28,25.82
07/15/2022,26.79,154380200,26.27,26.85,25.81
07/14/2022,25.45,175823500,24.465,25.68,23.62
07/13/2022,25.19,180575500,23.84,25.83,23.69
07/12/2022,25.35,159616500,26.44,26.98,24.9099
07/11/2022,26.11,129224100,27.2,27.27,25.86
07/08/2022,27.89,159729200,26.99,28.31,26.71
07/07/2022,27.76,137866300,26.38,28,26.37
07/06/2022,26.14,206122900,25.77,26.72,25.28
07/05/2022,25.65,220554000,23.41,25.68,23
07/01/2022,24.39,208600400,23.6,24.5,23.1
06/30/2022,24,256203900,24.06,24.89,22.75
06/29/2022,24.88,190091100,24.78,25.2899,24.1
06/28/2022,24.83,188120400,27.46,28.21,24.76
06/27/2022,27.32,169131000,28.35,28.5,27
06/24/2022,27.98,151817500,26.112,28.04,26.0501
06/23/2022,25.33,182686400,24.94,25.57,24.17
06/22/2022,24.29,194486800,23.71,25.45,23.55
06/21/2022,24.38,159204100,23.815,24.98,23.78
06/17/2022,22.67,220590500,22.07,23.28,21.65
06/16/2022,21.86,212142200,22.99,23.12,21.32
06/15/2022,24.9,274911500,24.06,25.92,23.34
06/14/2022,23.23,196600500,23.64,23.87,22.52
06/13/2022,23.08,213365700,24.27,24.98,22.82
06/10/2022,26.79,171676100,28.255,28.62,26.67
06/09/2022,29.99,137979700,32.07,33.06,29.932
06/08/2022,32.65,112853000,33.075,33.94,32.33
06/07/2022,33.33,137443300,31.42,33.595,31.05
06/06/2022,32.54,150479300,33.615,34.13,32
06/03/2022,32.14,162361900,33.14,33.63,31.76
06/02/2022,34.9,168430700,31.92,34.98,31.45
06/01/2022,32.28,199447100,33.71,34.43,31.55
05/31/2022,33.05,184579300,33.3,34,31.7312
05/27/2022,33.29,157517900,31.295,33.3392,31.27
05/26/2022,30.32,168565800,27.76,30.78,27.68
05/25/2022,27.98,180641900,26.44,28.6,26.385
05/24/2022,26.9,183244300,27.145,27.36,25.425
05/23/2022,28.69,170520300,27.65,28.83,26.96
05/20/2022,27.34,229055600,28.65,28.8399,24.93
05/19/2022,27.58,196007800,27.54,29.02,27.04
05/18/2022,28.15,164052600,31.46,31.69,27.69
05/17/2022,32.96,153990700,32.43,33.08,31.2395
05/16/2022,30.65,159194000,31.13,31.78,30.18
05/13/2022,31.63,197974000,29.85,32,29.38
05/12/2022,28.53,295496500,27.43,29.89,26.69
05/11/2022,28.76,264765900,30.85,32.6,28.47
05/10/2022,31.57,231789800,32.715,33.08,30.28
05/09/2022,30.52,210209900,32.56,33.42,30.01
05/06/2022,34.61,233397200,35.09,36.53,33.1
05/05/2022,35.86,227776300,40.5,40.51,34.52
