voo  系数 0.6

0 days average leverage is  0.573
5 days average leverage is  0.891
10 days average leverage is  0.857
15 days average leverage is  0.875
20 days average leverage is  0.838
25 days average leverage is  0.781
30 days average leverage is  1.059
35 days average leverage is  0.896
40 days average leverage is  0.868
45 days average leverage is  0.889
50 days average leverage is  0.755
55 days average leverage is  0.654
60 days average leverage is  0.328
65 days average leverage is  0.847
70 days average leverage is  0.673
75 days average leverage is  1.278
80 days average leverage is  0.367
85 days average leverage is  0.710
90 days average leverage is  0.573
95 days average leverage is  0.666
100 days average leverage is  0.440
105 days average leverage is  0.544
110 days average leverage is  0.728
115 days average leverage is  1.137
120 days average leverage is  0.492
125 days average leverage is  0.758
130 days average leverage is  0.415
135 days average leverage is  0.708
140 days average leverage is  0.523
145 days average leverage is  0.688
150 days average leverage is  0.797
155 days average leverage is  1.502
160 days average leverage is  0.663
165 days average leverage is  0.745
170 days average leverage is  0.787
175 days average leverage is  1.064
180 days average leverage is  0.522
185 days average leverage is  0.849
190 days average leverage is  0.650
195 days average leverage is  0.314
200 days average leverage is  0.445
205 days average leverage is  0.424
210 days average leverage is  0.632
215 days average leverage is  0.690
220 days average leverage is  0.822
225 days average leverage is  0.629
230 days average leverage is  0.380
235 days average leverage is  1.100
240 days average leverage is  0.698
245 days average leverage is  1.024
250 days average leverage is  0.589
255 days average leverage is  0.908
260 days average leverage is  0.401
265 days average leverage is  0.629
270 days average leverage is  0.749
275 days average leverage is  1.013
280 days average leverage is  0.319
285 days average leverage is  0.648
290 days average leverage is  0.533
295 days average leverage is  0.684
300 days average leverage is  0.707
305 days average leverage is  0.436
310 days average leverage is  0.700
315 days average leverage is  0.892
320 days average leverage is  0.700
325 days average leverage is  0.557
330 days average leverage is  0.558
335 days average leverage is  0.527
340 days average leverage is  0.413
345 days average leverage is  0.381
350 days average leverage is  0.366
355 days average leverage is  0.551
360 days average leverage is  0.562
365 days average leverage is  0.966
370 days average leverage is  0.645
375 days average leverage is  1.066
380 days average leverage is  0.329
385 days average leverage is  0.642
390 days average leverage is  0.761
395 days average leverage is  0.535
400 days average leverage is  0.658
405 days average leverage is  0.405
410 days average leverage is  0.814
415 days average leverage is  0.457
420 days average leverage is  0.706
425 days average leverage is  0.581
430 days average leverage is  0.634
435 days average leverage is  1.095
440 days average leverage is  0.689
445 days average leverage is  0.652
450 days average leverage is  0.630
455 days average leverage is  1.230
460 days average leverage is  0.542
465 days average leverage is  0.443
470 days average leverage is  0.764
475 days average leverage is  0.600
480 days average leverage is  0.602
485 days average leverage is  0.583
490 days average leverage is  0.581
495 days average leverage is  0.574
500 days average leverage is  0.564
505 days average leverage is  0.556
510 days average leverage is  0.558
515 days average leverage is  0.562
520 days average leverage is  0.121
525 days average leverage is  0.554
530 days average leverage is  0.553
535 days average leverage is  0.558
540 days average leverage is  0.856
545 days average leverage is  0.541
550 days average leverage is  0.545
555 days average leverage is  0.547
560 days average leverage is  0.548
565 days average leverage is  0.548
570 days average leverage is  0.548
575 days average leverage is  0.548
580 days average leverage is  0.547
585 days average leverage is  0.547
590 days average leverage is  0.546
595 days average leverage is  0.545
600 days average leverage is  0.545
605 days average leverage is  0.544
610 days average leverage is  0.543
615 days average leverage is  0.543
620 days average leverage is  0.542
625 days average leverage is  0.542
630 days average leverage is  0.542
635 days average leverage is  0.542
640 days average leverage is  0.542
645 days average leverage is  0.543
650 days average leverage is  0.542
655 days average leverage is  0.542
660 days average leverage is  0.542
665 days average leverage is  0.542
670 days average leverage is  0.542
675 days average leverage is  0.542
680 days average leverage is  0.543
685 days average leverage is  0.543
690 days average leverage is  0.543
695 days average leverage is  0.543
700 days average leverage is  0.543
705 days average leverage is  0.543
710 days average leverage is  0.543
715 days average leverage is  0.543
720 days average leverage is  0.543
725 days average leverage is  0.543
730 days average leverage is  0.543
735 days average leverage is  0.543
740 days average leverage is  0.543
745 days average leverage is  0.543
750 days average leverage is  0.543
755 days average leverage is  0.543
760 days average leverage is  0.543
765 days average leverage is  0.543
770 days average leverage is  0.543
775 days average leverage is  0.543
780 days average leverage is  0.543
785 days average leverage is  0.544
790 days average leverage is  0.544
795 days average leverage is  0.544
800 days average leverage is  0.544
805 days average leverage is  0.544
810 days average leverage is  0.544
815 days average leverage is  0.544
820 days average leverage is  0.544
825 days average leverage is  0.544
830 days average leverage is  0.544
835 days average leverage is  0.544
840 days average leverage is  0.544
845 days average leverage is  0.544
850 days average leverage is  0.544
855 days average leverage is  0.544
860 days average leverage is  0.544
865 days average leverage is  0.544
870 days average leverage is  0.544
875 days average leverage is  0.544
880 days average leverage is  0.544
885 days average leverage is  0.544
890 days average leverage is  0.543
895 days average leverage is  0.543
900 days average leverage is  0.543
905 days average leverage is  0.542
910 days average leverage is  0.542
915 days average leverage is  0.542
920 days average leverage is  0.541
925 days average leverage is  0.541
930 days average leverage is  0.541
935 days average leverage is  0.540
940 days average leverage is  0.540
945 days average leverage is  0.540
950 days average leverage is  0.539
955 days average leverage is  0.539
960 days average leverage is  0.538
965 days average leverage is  0.538
970 days average leverage is  0.537
975 days average leverage is  0.537
980 days average leverage is  0.536
985 days average leverage is  0.536
990 days average leverage is  0.535
995 days average leverage is  0.535
1000 days average leverage is  0.534
1005 days average leverage is  0.534
1010 days average leverage is  0.533
1015 days average leverage is  0.533
1020 days average leverage is  0.532
1025 days average leverage is  0.532
1030 days average leverage is  0.531
1035 days average leverage is  0.531
1040 days average leverage is  0.530
1045 days average leverage is  0.530
1050 days average leverage is  0.529
1055 days average leverage is  0.529
1060 days average leverage is  0.528
1065 days average leverage is  0.528
1070 days average leverage is  0.527
1075 days average leverage is  0.526
-------------------------------
         done
