Year,USA_real_GDP_growth_%,Japan_real_GDP_growth_%,China_real_GDP_growth_%
2000,4.1,2.8,8.5
2001,1.0,0.4,8.3
2002,1.7,0.0,9.1
2003,2.8,1.5,10.0
2004,3.9,2.2,10.1
2005,3.5,1.8,11.4
2006,2.8,1.4,12.7
2007,2.0,1.5,14.2
2008,0.1,-1.2,9.6
2009,-2.6,-5.7,9.4
2010,2.7,4.1,10.6
2011,1.6,0.0,9.6
2012,2.3,1.4,7.8
2013,2.1,2.0,7.8
2014,2.5,0.3,7.4
2015,2.9,1.6,7.0
2016,1.8,0.8,6.8
2017,2.5,1.7,6.9
2018,3.0,0.6,6.7
2019,2.6,-0.4,6.0
2020,-2.1,-4.1,2.2
2021,6.2,2.6,8.4
2022,2.5,1.0,3.0
2023,2.9,1.9,5.3
2024,2.8,0.9,4.8
2025,2.0,1.0,4.5
